module type_0,x_0,x_1,x_2,x_3,x_4,x_5,y_0,y_1,y_2,y_3,z_0,z_1,z_2,z_3,edge count_0,line length_0,img_0,area difference_0,total score_0
8,13,0.524,0.306,0.228,0.5,0.701,4,0.72,0.31,0.22,2,0.16,0.48,0.63,1664,2,C:\Users\glady\Desktop\datalogging (new)/line length_1194.jpg,0.01738,2.01738
20,8,0.459,0.152,0.245,0.099,0.485,4,0.79,0.45,0.6,3,0.21,0.6,0.8,1536,2,C:\Users\glady\Desktop\datalogging (new)/line length_3107.jpg,0.020253,2.020253
2,11,0.166,0.456,0.898,0.902,0.536,7,0.73,0.2,0.62,2,0.76,0.48,0.11,1232,3,C:\Users\glady\Desktop\datalogging (new)/line length_438.jpg,0.005149,3.005149
18,11,0.334,0.525,0.231,0.548,0.554,6,0.27,0.79,0.32,2,0.21,0.25,0.43,1584,3,C:\Users\glady\Desktop\datalogging (new)/line length_2873.jpg,0.005563,3.005563
8,9,0.469,0.942,0.647,0.802,0.933,7,0.51,0.55,0.37,2,0.86,0.21,0.21,2016,3,C:\Users\glady\Desktop\datalogging (new)/line length_1078.jpg,0.005908,3.005908
26,8,0.339,0.195,0.242,0.217,0.681,7,0.26,0.28,0.27,3,0.08,0.78,0.95,5376,3,C:\Users\glady\Desktop\datalogging (new)/line length_3859.jpg,0.006996,3.006996
13,13,0.159,0.579,0.844,0.533,0.995,5,0.32,0.6,0.36,2,0.21,0.61,0.26,4810,3,C:\Users\glady\Desktop\datalogging (new)/line length_2200.jpg,0.007154,3.007154
18,9,0.473,0.785,0.813,0.785,0.496,5,0.28,0.49,0.55,2,0.17,0.8,0.33,1080,3,C:\Users\glady\Desktop\datalogging (new)/line length_2721.jpg,0.008367,3.008367
18,12,0.311,0.517,0.562,0.492,0.387,5,0.74,0.79,0.38,2,0.41,0.33,0.51,1440,3,C:\Users\glady\Desktop\datalogging (new)/line length_2777.jpg,0.008945,3.008945
7,14,0.359,0.393,0.748,0.474,0.028,4,0.55,0.53,0.59,3,0.32,0.02,0.13,6216,3,C:\Users\glady\Desktop\datalogging (new)/line length_901.jpg,0.011982,3.011982
