module type_0,x_0,x_1,x_2,x_3,x_4,x_5,y_0,y_1,y_2,y_3,z_0,z_1,z_2,z_3,edge count_0,line length_0,area difference_0,total score_0,img_0,deformation average_0,deformation variance_0,strain energy_0
23,8,0.737,0.155,0.32,0.354,0.048,6,0.1,0.82,0.95,3,0.56,0.54,0.9,3456,234,C:\Users\glady\Desktop\datalogging (new)/line length_4619.jpg,0.000013,0.013553,234.013553,1.812948,1.501259
23,0.000026,3.085259,5.434493,,,,,,,,,,,,,,,,,,,
23,8,0.245,0.894,0.924,0.809,0.377,4,0.11,0.47,0.49,3,0.21,0.71,0.55,2304,6,C:\Users\glady\Desktop\datalogging (new)/line length_4620.jpg,0.000026,0.012587,6.012587,3.085259,5.434493
23,0.000019,2.343947,3.317215,,,,,,,,,,,,,,,,,,,
23,8,0.652,0.097,0.564,0.723,0.32,5,0.51,0.37,0.98,3,0.43,0.71,0.17,2880,30,C:\Users\glady\Desktop\datalogging (new)/line length_4621.jpg,0.000019,0.009359,30.009359,2.343947,3.317215
23,4.47E-06,0.885979,0.477442,,,,,,,,,,,,,,,,,,,
23,12,0.314,0.445,0.441,0.638,0.898,6,0.06,0.4,0.15,2,0.92,0.58,0.04,3456,4,C:\Users\glady\Desktop\datalogging (new)/line length_4622.jpg,4.47E-06,0.004709,4.004709,0.885979,0.477442
23,0.000013,2.100914,1.543371,,,,,,,,,,,,,,,,,,,
23,9,0.943,0.61,0.49,0.091,0.386,4,0.54,0.29,0.46,3,0.98,0.58,0.82,2592,137,C:\Users\glady\Desktop\datalogging (new)/line length_4623.jpg,0.000013,0.02146,137.02146,2.100914,1.543371
23,0.000012,1.584319,1.644957,,,,,,,,,,,,,,,,,,,
23,13,0.456,0.211,0.205,0.429,0.64,5,0.75,0.17,0.76,3,0.26,0.65,0.32,4680,24,C:\Users\glady\Desktop\datalogging (new)/line length_4624.jpg,0.000012,0.0101,24.0101,1.584319,1.644957
23,0.000012,1.629947,1.612834,,,,,,,,,,,,,,,,,,,
23,14,0.169,0.977,0.278,0.321,0.729,5,0.12,0.04,0.82,3,0.22,0.78,0.07,5040,0,C:\Users\glady\Desktop\datalogging (new)/line length_4625.jpg,0.000012,0.007407,0.007407,1.629947,1.612834
23,2.94E-06,0.627186,0.179947,,,,,,,,,,,,,,,,,,,
23,10,0.462,0.854,0.075,0.334,0.055,7,0.14,0.7,0.71,2,0.38,0.4,0.56,3360,0,C:\Users\glady\Desktop\datalogging (new)/line length_4626.jpg,2.94E-06,0.007558,0.007558,0.627186,0.179947
23,5.45E-06,1.122638,0.52085,,,,,,,,,,,,,,,,,,,
23,8,0.341,0.83,0.056,0.669,0.134,4,0.8,0.29,0,2,0.3,0.09,0.26,1536,45,C:\Users\glady\Desktop\datalogging (new)/line length_4627.jpg,5.45E-06,0.024247,45.024247,1.122638,0.52085
23,9.39E-06,1.518045,0.867524,,,,,,,,,,,,,,,,,,,
23,9,0.989,0.42,0.562,0.331,0.288,6,0.32,0.3,0.41,3,0.58,0.27,0.62,3888,112,C:\Users\glady\Desktop\datalogging (new)/line length_4628.jpg,9.39E-06,0.011548,112.011548,1.518045,0.867524
23,9.73E-06,1.626366,1.127363,,,,,,,,,,,,,,,,,,,
23,13,0.595,0.876,0.164,0.054,0.886,5,0.86,0.48,0.39,3,0.72,0.94,0.47,4680,41,C:\Users\glady\Desktop\datalogging (new)/line length_4629.jpg,9.73E-06,0.012799,41.012799,1.626366,1.127363
23,0.000018,2.125163,2.938728,,,,,,,,,,,,,,,,,,,
23,11,0.544,0.982,0.793,0.928,0.732,5,0.07,0.72,0.96,3,0.83,0.27,0.1,3960,0,C:\Users\glady\Desktop\datalogging (new)/line length_4630.jpg,0.000018,0.007464,0.007464,2.125163,2.938728
23,6.18E-06,1.120199,0.598066,,,,,,,,,,,,,,,,,,,
23,14,0.246,0.781,0.512,0.006,0.94,7,0.84,0.4,0.43,3,0.92,0.37,0.54,7056,244,C:\Users\glady\Desktop\datalogging (new)/line length_4631.jpg,6.18E-06,0.006273,244.006273,1.120199,0.598066
23,4.64E-06,0.97038,0.518358,,,,,,,,,,,,,,,,,,,
23,8,0.69,0.619,0.816,0.781,0.712,6,0.84,0.86,0.6,2,0.48,0.89,0.8,2304,23,C:\Users\glady\Desktop\datalogging (new)/line length_4632.jpg,4.64E-06,0.008396,23.008396,0.97038,0.518358
23,7.16E-06,1.039342,0.557265,,,,,,,,,,,,,,,,,,,
23,13,0.036,0.888,0.782,0.99,0.313,6,0.55,0.14,0.94,3,0.43,0.53,0.61,5616,0,C:\Users\glady\Desktop\datalogging (new)/line length_4633.jpg,7.16E-06,0.0049,0.0049,1.039342,0.557265
23,0.000027,3.160276,5.796578,,,,,,,,,,,,,,,,,,,
23,8,0.218,0.881,0.877,0.684,0.434,4,0.09,0.43,0.52,3,0.32,0.64,0.59,2304,6,C:\Users\glady\Desktop\datalogging (new)/line length_4634.jpg,0.000027,0.012806,6.012806,3.160276,5.796578
23,0.000012,1.735082,1.456772,,,,,,,,,,,,,,,,,,,
23,10,0.983,0.282,0.835,0.394,0.693,5,0.52,0.73,0.18,3,0.17,0.19,0.11,3600,30,C:\Users\glady\Desktop\datalogging (new)/line length_4635.jpg,0.000012,0.011462,30.011462,1.735082,1.456772
23,7.96E-06,1.154855,0.692572,,,,,,,,,,,,,,,,,,,
23,13,0.04,0.561,0.9,0.25,0.379,6,0.12,0.66,0.26,3,0.8,0.76,0.07,5616,4,C:\Users\glady\Desktop\datalogging (new)/line length_4636.jpg,7.96E-06,0.004648,4.004648,1.154855,0.692572
23,9.81E-06,1.36542,1.183065,,,,,,,,,,,,,,,,,,,
23,11,0.102,0.135,0.049,0.827,0.223,7,0.17,0.62,0.42,3,0.27,0.88,0.46,5544,0,C:\Users\glady\Desktop\datalogging (new)/line length_4637.jpg,9.81E-06,0.002343,0.002343,1.36542,1.183065
23,9.93E-06,1.394721,1.204108,,,,,,,,,,,,,,,,,,,
23,11,0.048,0.135,0.049,0.827,0.223,7,0.17,0.62,0.42,3,0.27,0.88,0.46,5544,1,C:\Users\glady\Desktop\datalogging (new)/line length_4638.jpg,9.93E-06,0.002346,1.002346,1.394721,1.204108
23,0.00001,1.463197,1.280086,,,,,,,,,,,,,,,,,,,
23,11,0.048,0.049,0.049,0.827,0.223,7,0.17,0.62,0.42,3,0.27,0.88,0.46,5544,1,C:\Users\glady\Desktop\datalogging (new)/line length_4639.jpg,0.00001,0.002506,1.002506,1.463197,1.280086
23,8.41E-06,1.202155,0.786369,,,,,,,,,,,,,,,,,,,
23,11,0.048,0.049,0.985,0.827,0.223,7,0.17,0.62,0.42,3,0.27,0.88,0.46,5544,8,C:\Users\glady\Desktop\datalogging (new)/line length_4640.jpg,8.41E-06,0.003086,8.003086,1.202155,0.786369
23,8.46E-06,1.207938,0.794007,,,,,,,,,,,,,,,,,,,
23,11,0.048,0.049,0.985,0.863,0.223,7,0.17,0.62,0.42,3,0.27,0.88,0.46,5544,9,C:\Users\glady\Desktop\datalogging (new)/line length_4641.jpg,8.46E-06,0.003067,9.003067,1.207938,0.794007
23,9.33E-06,1.366342,1.041433,,,,,,,,,,,,,,,,,,,
23,11,0.048,0.049,0.985,0.863,0.521,7,0.17,0.62,0.42,3,0.27,0.88,0.46,5544,11,C:\Users\glady\Desktop\datalogging (new)/line length_4642.jpg,9.33E-06,0.003341,11.003341,1.366342,1.041433
23,0.000012,1.645444,1.534742,,,,,,,,,,,,,,,,,,,
23,11,0.048,0.049,0.985,0.863,0.521,6,0.17,0.62,0.42,3,0.27,0.88,0.46,4752,5,C:\Users\glady\Desktop\datalogging (new)/line length_4643.jpg,0.000012,0.004582,5.004582,1.645444,1.534742
23,0.000011,1.521427,1.305412,,,,,,,,,,,,,,,,,,,
23,11,0.048,0.049,0.985,0.863,0.521,6,0.35,0.62,0.42,3,0.27,0.88,0.46,4752,0,C:\Users\glady\Desktop\datalogging (new)/line length_4644.jpg,0.000011,0.004842,0.004842,1.521427,1.305412
23,0.000011,1.551762,1.361677,,,,,,,,,,,,,,,,,,,
23,11,0.048,0.049,0.985,0.863,0.521,6,0.35,0.85,0.42,3,0.27,0.88,0.46,4752,1,C:\Users\glady\Desktop\datalogging (new)/line length_4645.jpg,0.000011,0.004726,1.004726,1.551762,1.361677
23,0.000011,1.527053,1.316234,,,,,,,,,,,,,,,,,,,
23,11,0.048,0.049,0.985,0.863,0.521,6,0.35,0.85,0.33,3,0.27,0.88,0.46,4752,1,C:\Users\glady\Desktop\datalogging (new)/line length_4646.jpg,0.000011,0.004795,1.004795,1.527053,1.316234
23,4.25E-06,0.862001,0.395102,,,,,,,,,,,,,,,,,,,
23,11,0.048,0.049,0.985,0.863,0.521,6,0.35,0.85,0.33,2,0.27,0.88,0.46,3168,0,C:\Users\glady\Desktop\datalogging (new)/line length_4647.jpg,4.25E-06,0.004795,0.004795,0.862001,0.395102
23,4.25E-06,0.862001,0.395102,,,,,,,,,,,,,,,,,,,
23,11,0.048,0.049,0.985,0.863,0.521,6,0.35,0.85,0.33,2,0.07,0.88,0.46,3168,0,C:\Users\glady\Desktop\datalogging (new)/line length_4648.jpg,4.25E-06,0.004795,0.004795,0.862001,0.395102
23,4.25E-06,0.862001,0.395102,,,,,,,,,,,,,,,,,,,
23,11,0.048,0.049,0.985,0.863,0.521,6,0.35,0.85,0.33,2,0.07,0.09,0.46,3168,0,C:\Users\glady\Desktop\datalogging (new)/line length_4649.jpg,4.25E-06,0.004795,0.004795,0.862001,0.395102
23,4.25E-06,0.862001,0.395102,,,,,,,,,,,,,,,,,,,
23,11,0.048,0.049,0.985,0.863,0.521,6,0.35,0.85,0.33,2,0.07,0.09,0.51,3168,0,C:\Users\glady\Desktop\datalogging (new)/line length_4650.jpg,4.25E-06,0.004795,0.004795,0.862001,0.395102
23,3.84E-06,0.828131,0.350529,,,,,,,,,,,,,,,,,,,
23,11,0.048,0.049,0.985,0.863,0.521,6,0.35,0.85,0.33,2,0.07,0.09,0.51,3300,303,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,3.84E-06,0.004795,303.004795,0.828131,0.350529
23,11,0.048,0.049,0.985,0.863,0.521,6,0.35,0.85,0.33,2,0.07,0.09,0.51,3300,303,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,3.84E-06,0.004795,303.004795,0.828131,0.350529
23,4.72E-06,1.028098,0.556256,,,,,,,,,,,,,,,,,,,
23,8,0.048,0.049,0.985,0.863,0.521,6,0.35,0.85,0.33,2,0.07,0.09,0.51,2400,432,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,4.72E-06,0.006062,432.006062,1.028098,0.556256
23,4.65E-06,1.002325,0.535811,,,,,,,,,,,,,,,,,,,
23,8,0.146,0.049,0.985,0.863,0.521,6,0.35,0.85,0.33,2,0.07,0.09,0.51,2400,423,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,4.65E-06,0.005851,423.005851,1.002325,0.535811
23,4.09E-06,0.87747,0.418351,,,,,,,,,,,,,,,,,,,
23,8,0.146,0.726,0.985,0.863,0.521,6,0.35,0.85,0.33,2,0.07,0.09,0.51,2400,462,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,4.09E-06,0.00632,462.00632,0.87747,0.418351
23,4.31E-06,0.915752,0.474272,,,,,,,,,,,,,,,,,,,
23,8,0.146,0.726,0.505,0.863,0.521,6,0.35,0.85,0.33,2,0.07,0.09,0.51,2400,495,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,4.31E-06,0.006345,495.006345,0.915752,0.474272
23,4.25E-06,0.911174,0.470103,,,,,,,,,,,,,,,,,,,
23,8,0.146,0.726,0.505,0.756,0.521,6,0.35,0.85,0.33,2,0.07,0.09,0.51,2400,522,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,4.25E-06,0.006657,522.006657,0.911174,0.470103
23,4.33E-06,0.925191,0.487566,,,,,,,,,,,,,,,,,,,
23,8,0.146,0.726,0.505,0.756,0.566,6,0.35,0.85,0.33,2,0.07,0.09,0.51,2400,497,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,4.33E-06,0.006657,497.006657,0.925191,0.487566
23,4.07E-06,0.904763,0.462696,,,,,,,,,,,,,,,,,,,
23,8,0.146,0.726,0.505,0.756,0.566,7,0.35,0.85,0.33,2,0.07,0.09,0.51,2800,562,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,4.07E-06,0.005359,562.005359,0.904763,0.462696
23,4.34E-06,0.939802,0.507712,,,,,,,,,,,,,,,,,,,
23,8,0.146,0.726,0.505,0.756,0.566,7,0.02,0.85,0.33,2,0.07,0.09,0.51,2800,526,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,4.34E-06,0.005398,526.005398,0.939802,0.507712
23,4.35E-06,0.939492,0.510583,,,,,,,,,,,,,,,,,,,
23,8,0.146,0.726,0.505,0.756,0.566,7,0.02,0.44,0.33,2,0.07,0.09,0.51,2800,525,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,4.35E-06,0.005264,525.005264,0.939492,0.510583
23,4.43E-06,0.945139,0.520798,,,,,,,,,,,,,,,,,,,
23,8,0.146,0.726,0.505,0.756,0.566,7,0.02,0.44,0.48,2,0.07,0.09,0.51,2800,525,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,4.43E-06,0.005281,525.005281,0.945139,0.520798
23,4.43E-06,0.945139,0.520798,,,,,,,,,,,,,,,,,,,
23,8,0.146,0.726,0.505,0.756,0.566,7,0.02,0.44,0.48,2,0.41,0.09,0.51,2800,525,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,4.43E-06,0.005281,525.005281,0.945139,0.520798
23,4.43E-06,0.945139,0.520798,,,,,,,,,,,,,,,,,,,
23,8,0.146,0.726,0.505,0.756,0.566,7,0.02,0.44,0.48,2,0.41,0.9,0.51,2800,525,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,4.43E-06,0.005281,525.005281,0.945139,0.520798
23,4.43E-06,0.945139,0.520798,,,,,,,,,,,,,,,,,,,
23,8,0.146,0.726,0.505,0.756,0.566,7,0.02,0.44,0.48,2,0.41,0.9,0.2,2800,525,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,4.43E-06,0.005281,525.005281,0.945139,0.520798
23,2.67E-06,0.748052,0.327132,,,,,,,,,,,,,,,,,,,
23,8,0.146,0.726,0.505,0.756,0.566,7,0.02,0.44,0.48,2,0.41,0.9,0.2,1344,1,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,2.67E-06,0.005281,1.005281,0.748052,0.327132
23,2.16E-06,0.618008,0.212183,,,,,,,,,,,,,,,,,,,
23,11,0.146,0.726,0.505,0.756,0.566,7,0.02,0.44,0.48,2,0.41,0.9,0.2,1848,0,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,2.16E-06,0.003636,0.003636,0.618008,0.212183
23,2.11E-06,0.602907,0.204366,,,,,,,,,,,,,,,,,,,
23,11,0.339,0.726,0.505,0.756,0.566,7,0.02,0.44,0.48,2,0.41,0.9,0.2,1848,0,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,2.11E-06,0.003889,0.003889,0.602907,0.204366
23,2.23E-06,0.62736,0.225344,,,,,,,,,,,,,,,,,,,
23,11,0.339,0.503,0.505,0.756,0.566,7,0.02,0.44,0.48,2,0.41,0.9,0.2,1848,0,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,2.23E-06,0.003638,0.003638,0.62736,0.225344
23,2.34E-06,0.658482,0.256694,,,,,,,,,,,,,,,,,,,
23,11,0.339,0.503,0.249,0.756,0.566,7,0.02,0.44,0.48,2,0.41,0.9,0.2,1848,0,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,2.34E-06,0.003738,0.003738,0.658482,0.256694
23,2.29E-06,0.668047,0.267501,,,,,,,,,,,,,,,,,,,
23,11,0.339,0.503,0.249,0.549,0.566,7,0.02,0.44,0.48,2,0.41,0.9,0.2,1848,0,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,2.29E-06,0.004247,0.004247,0.668047,0.267501
23,2.22E-06,0.649127,0.250729,,,,,,,,,,,,,,,,,,,
23,11,0.339,0.503,0.249,0.549,0.517,7,0.02,0.44,0.48,2,0.41,0.9,0.2,1848,0,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,2.22E-06,0.00425,0.00425,0.649127,0.250729
23,2.30E-06,0.66032,0.257894,,,,,,,,,,,,,,,,,,,
23,11,0.339,0.503,0.249,0.549,0.517,6,0.02,0.44,0.48,2,0.41,0.9,0.2,1584,0,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,2.30E-06,0.005625,0.005625,0.66032,0.257894
23,2.17E-06,0.634841,0.237131,,,,,,,,,,,,,,,,,,,
23,11,0.339,0.503,0.249,0.549,0.517,6,0.26,0.44,0.48,2,0.41,0.9,0.2,1584,1,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,2.17E-06,0.005515,1.005515,0.634841,0.237131
23,2.19E-06,0.638307,0.239508,,,,,,,,,,,,,,,,,,,
23,11,0.339,0.503,0.249,0.549,0.517,6,0.26,0.77,0.48,2,0.41,0.9,0.2,1584,0,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,2.19E-06,0.00544,0.00544,0.638307,0.239508
23,2.16E-06,0.637314,0.238607,,,,,,,,,,,,,,,,,,,
23,11,0.339,0.503,0.249,0.549,0.517,6,0.26,0.77,0.3,2,0.41,0.9,0.2,1584,1,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,2.16E-06,0.005533,1.005533,0.637314,0.238607
23,2.16E-06,0.637314,0.238607,,,,,,,,,,,,,,,,,,,
23,11,0.339,0.503,0.249,0.549,0.517,6,0.26,0.77,0.3,2,0.24,0.9,0.2,1584,1,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,2.16E-06,0.005533,1.005533,0.637314,0.238607
23,2.16E-06,0.637314,0.238607,,,,,,,,,,,,,,,,,,,
23,11,0.339,0.503,0.249,0.549,0.517,6,0.26,0.77,0.3,2,0.24,0.27,0.2,1584,1,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,2.16E-06,0.005533,1.005533,0.637314,0.238607
23,2.16E-06,0.637314,0.238607,,,,,,,,,,,,,,,,,,,
23,11,0.339,0.503,0.249,0.549,0.517,6,0.26,0.77,0.3,2,0.24,0.27,0.45,1584,1,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,2.16E-06,0.005533,1.005533,0.637314,0.238607
23,2.07E-06,0.601346,0.207261,,,,,,,,,,,,,,,,,,,
23,12,0.339,0.503,0.249,0.549,0.517,6,0.26,0.77,0.3,2,0.24,0.27,0.45,1728,0,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,2.07E-06,0.005158,0.005158,0.601346,0.207261
23,2.07E-06,0.601344,0.207074,,,,,,,,,,,,,,,,,,,
23,12,0.335,0.503,0.249,0.549,0.517,6,0.26,0.77,0.3,2,0.24,0.27,0.45,1728,0,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,2.07E-06,0.005147,0.005147,0.601344,0.207074
23,2.09E-06,0.60832,0.212976,,,,,,,,,,,,,,,,,,,
23,12,0.335,0.458,0.249,0.549,0.517,6,0.26,0.77,0.3,2,0.24,0.27,0.45,1728,0,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,2.09E-06,0.005087,0.005087,0.60832,0.212976
23,2.01E-06,0.586767,0.194524,,,,,,,,,,,,,,,,,,,
23,12,0.335,0.458,0.412,0.549,0.517,6,0.26,0.77,0.3,2,0.24,0.27,0.45,1728,0,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,2.01E-06,0.004963,0.004963,0.586767,0.194524
23,1.98E-06,0.59266,0.198854,,,,,,,,,,,,,,,,,,,
23,12,0.335,0.458,0.412,0.377,0.517,6,0.26,0.77,0.3,2,0.24,0.27,0.45,1728,0,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,1.98E-06,0.00537,0.00537,0.59266,0.198854
23,1.84E-06,0.565385,0.178362,,,,,,,,,,,,,,,,,,,
23,12,0.335,0.458,0.412,0.377,0.417,6,0.26,0.77,0.3,2,0.24,0.27,0.45,1728,0,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,1.84E-06,0.005358,0.005358,0.565385,0.178362
23,1.77E-06,0.555508,0.169758,,,,,,,,,,,,,,,,,,,
23,12,0.335,0.458,0.412,0.377,0.417,6,0.57,0.77,0.3,2,0.24,0.27,0.45,1728,0,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,1.77E-06,0.006162,0.006162,0.555508,0.169758
23,1.76E-06,0.555007,0.168926,,,,,,,,,,,,,,,,,,,
23,12,0.335,0.458,0.412,0.377,0.417,6,0.57,0.63,0.3,2,0.24,0.27,0.45,1728,1,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,1.76E-06,0.006451,1.006451,0.555007,0.168926
23,1.76E-06,0.555007,0.168995,,,,,,,,,,,,,,,,,,,
23,12,0.335,0.458,0.412,0.377,0.417,6,0.57,0.63,0.31,2,0.24,0.27,0.45,1728,1,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,1.76E-06,0.006426,1.006426,0.555007,0.168995
23,1.76E-06,0.555007,0.168995,,,,,,,,,,,,,,,,,,,
23,12,0.335,0.458,0.412,0.377,0.417,6,0.57,0.63,0.31,2,0.32,0.27,0.45,1728,1,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,1.76E-06,0.006426,1.006426,0.555007,0.168995
23,1.76E-06,0.555007,0.168995,,,,,,,,,,,,,,,,,,,
23,12,0.335,0.458,0.412,0.377,0.417,6,0.57,0.63,0.31,2,0.32,0.31,0.45,1728,1,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,1.76E-06,0.006426,1.006426,0.555007,0.168995
23,1.76E-06,0.555007,0.168995,,,,,,,,,,,,,,,,,,,
23,12,0.335,0.458,0.412,0.377,0.417,6,0.57,0.63,0.31,2,0.32,0.31,0.47,1728,1,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,1.76E-06,0.006426,1.006426,0.555007,0.168995
23,3.11E-06,0.70246,0.260867,,,,,,,,,,,,,,,,,,,
23,12,0.335,0.458,0.412,0.377,0.417,6,0.57,0.63,0.31,2,0.32,0.31,0.47,3456,1,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,3.11E-06,0.006426,1.006426,0.70246,0.260867
23,3.71E-06,0.815989,0.353136,,,,,,,,,,,,,,,,,,,
23,10,0.335,0.458,0.412,0.377,0.417,6,0.57,0.63,0.31,2,0.32,0.31,0.47,2880,4,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,3.71E-06,0.007352,4.007352,0.815989,0.353136
23,3.51E-06,0.80888,0.314666,,,,,,,,,,,,,,,,,,,
23,10,0.85,0.458,0.412,0.377,0.417,6,0.57,0.63,0.31,2,0.32,0.31,0.47,2880,28,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,3.51E-06,0.010012,28.010012,0.80888,0.314666
23,3.52E-06,0.810144,0.315473,,,,,,,,,,,,,,,,,,,
23,10,0.85,0.464,0.412,0.377,0.417,6,0.57,0.63,0.31,2,0.32,0.31,0.47,2880,28,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,3.52E-06,0.010011,28.010011,0.810144,0.315473
23,3.19E-06,0.729787,0.258252,,,,,,,,,,,,,,,,,,,
23,10,0.85,0.464,0.826,0.377,0.417,6,0.57,0.63,0.31,2,0.32,0.31,0.47,2880,16,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,3.19E-06,0.008563,16.008563,0.729787,0.258252
23,3.22E-06,0.72633,0.259167,,,,,,,,,,,,,,,,,,,
23,10,0.85,0.464,0.826,0.448,0.417,6,0.57,0.63,0.31,2,0.32,0.31,0.47,2880,16,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,3.22E-06,0.008311,16.008311,0.72633,0.259167
23,4.05E-06,0.898575,0.46051,,,,,,,,,,,,,,,,,,,
23,10,0.85,0.464,0.826,0.448,0.974,6,0.57,0.63,0.31,2,0.32,0.31,0.47,2880,21,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,4.05E-06,0.008085,21.008085,0.898575,0.46051
23,4.59E-06,0.944947,0.544633,,,,,,,,,,,,,,,,,,,
23,10,0.85,0.464,0.826,0.448,0.974,6,0.07,0.63,0.31,2,0.32,0.31,0.47,2880,3,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,4.59E-06,0.006956,3.006956,0.944947,0.544633
23,4.60E-06,0.945723,0.545244,,,,,,,,,,,,,,,,,,,
23,10,0.85,0.464,0.826,0.448,0.974,6,0.07,0.71,0.31,2,0.32,0.31,0.47,2880,3,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,4.60E-06,0.006976,3.006976,0.945723,0.545244
23,5.00E-06,0.994323,0.62108,,,,,,,,,,,,,,,,,,,
23,10,0.85,0.464,0.826,0.448,0.974,6,0.07,0.71,0.98,2,0.32,0.31,0.47,2880,1,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,5.00E-06,0.007249,1.007249,0.994323,0.62108
23,5.00E-06,0.994323,0.62108,,,,,,,,,,,,,,,,,,,
23,10,0.85,0.464,0.826,0.448,0.974,6,0.07,0.71,0.98,2,0.19,0.31,0.47,2880,1,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,5.00E-06,0.007249,1.007249,0.994323,0.62108
23,5.00E-06,0.994323,0.62108,,,,,,,,,,,,,,,,,,,
23,10,0.85,0.464,0.826,0.448,0.974,6,0.07,0.71,0.98,2,0.19,0.44,0.47,2880,1,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,5.00E-06,0.007249,1.007249,0.994323,0.62108
23,5.00E-06,0.994323,0.62108,,,,,,,,,,,,,,,,,,,
23,10,0.85,0.464,0.826,0.448,0.974,6,0.07,0.71,0.98,2,0.19,0.44,0.92,2880,1,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,5.00E-06,0.007249,1.007249,0.994323,0.62108
23,8.07E-06,1.314017,1.170658,,,,,,,,,,,,,,,,,,,
23,10,0.85,0.464,0.826,0.448,0.974,6,0.07,0.71,0.98,2,0.19,0.44,0.92,960,1,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,8.07E-06,0.007249,1.007249,1.314017,1.170658
23,5.90E-06,1.053113,0.722187,,,,,,,,,,,,,,,,,,,
23,12,0.85,0.464,0.826,0.448,0.974,6,0.07,0.71,0.98,2,0.19,0.44,0.92,1152,0,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,5.90E-06,0.006195,0.006195,1.053113,0.722187
23,7.03E-06,1.195763,0.889088,,,,,,,,,,,,,,,,,,,
23,12,0.175,0.464,0.826,0.448,0.974,6,0.07,0.71,0.98,2,0.19,0.44,0.92,1152,0,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,7.03E-06,0.005203,0.005203,1.195763,0.889088
23,7.60E-06,1.265951,1.002096,,,,,,,,,,,,,,,,,,,
23,12,0.175,0.338,0.826,0.448,0.974,6,0.07,0.71,0.98,2,0.19,0.44,0.92,1152,3,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,7.60E-06,0.005145,3.005145,1.265951,1.002096
23,7.91E-06,1.302656,1.074887,,,,,,,,,,,,,,,,,,,
23,12,0.175,0.338,0.746,0.448,0.974,6,0.07,0.71,0.98,2,0.19,0.44,0.92,1152,4,C:\Users\glady\Desktop\datalogging (new)/line length_4651.jpg,7.91E-06,0.005127,4.005127,1.302656,1.074887
