module type_0,x_0,x_1,x_2,x_3,x_4,x_5,y_0,y_1,y_2,y_3,z_0,z_1,z_2,z_3,edge count_0,line length_0,area difference_0,total score_0,img_0,deformation average_0,deformation variance_0,strain energy_0
23,10,0.857,0.006,0.919,0.206,0.637,6,0.34,0.23,0.43,3,0.93,0.18,0.53,4320,30,C:\Users\glady\Desktop\datalogging (new)/line length_4551.jpg,0.00001,0.008364,30.008364,1.510776,1.181803
23,2.94E-06,0.617418,0.194179,,,,,,,,,,,,,,,,,,,
23,10,0.387,0.72,0.755,0.945,0.185,7,0.68,0.92,0.69,2,0.02,0.81,0.98,3360,0,C:\Users\glady\Desktop\datalogging (new)/line length_4552.jpg,2.94E-06,0.0041,0.0041,0.617418,0.194179
23,8.38E-06,1.544697,0.922675,,,,,,,,,,,,,,,,,,,
23,8,0.618,0.765,0.097,0.013,0.296,7,0.06,0.96,0.73,3,0.6,0.64,0.25,4032,246,C:\Users\glady\Desktop\datalogging (new)/line length_4553.jpg,8.38E-06,0.014753,246.014753,1.544697,0.922675
23,0.000014,1.766189,1.911188,,,,,,,,,,,,,,,,,,,
23,13,0.421,0.954,0.849,0.795,0.69,4,0.24,0.73,0.48,3,0.48,0.66,0.8,3744,0,C:\Users\glady\Desktop\datalogging (new)/line length_4554.jpg,0.000014,0.010946,0.010946,1.766189,1.911188
23,0.000013,1.808788,1.685512,,,,,,,,,,,,,,,,,,,
23,12,0.985,0.107,0.656,0.207,0.495,4,0.45,0.82,0.17,3,0.08,0.23,0.1,3456,30,C:\Users\glady\Desktop\datalogging (new)/line length_4555.jpg,0.000013,0.016119,30.016119,1.808788,1.685512
23,2.61E-06,0.425197,0.082202,,,,,,,,,,,,,,,,,,,
23,14,0.112,0.115,0.933,0.94,0.009,6,0.79,0.27,0.06,2,0.96,0.29,0.91,4032,0,C:\Users\glady\Desktop\datalogging (new)/line length_4556.jpg,2.61E-06,0.009513,0.009513,0.425197,0.082202
23,0.000023,2.833061,4.108316,,,,,,,,,,,,,,,,,,,
23,8,0.281,0.429,0.489,0.381,0.371,4,0.8,0.74,0.5,3,0.98,0.75,0.72,2304,42,C:\Users\glady\Desktop\datalogging (new)/line length_4557.jpg,0.000023,0.01631,42.01631,2.833061,4.108316
23,5.94E-06,1.084571,0.593629,,,,,,,,,,,,,,,,,,,
23,10,0.866,0.611,0.59,0.323,0.502,4,0.07,0.37,0.36,2,0.73,0.79,0.7,1920,30,C:\Users\glady\Desktop\datalogging (new)/line length_4558.jpg,5.94E-06,0.014328,30.014328,1.084571,0.593629
23,5.51E-06,0.886836,0.413742,,,,,,,,,,,,,,,,,,,
23,14,0.145,0.365,0.579,0.41,0.318,7,0.68,0.89,0.65,3,0.74,0.72,0.91,7056,0,C:\Users\glady\Desktop\datalogging (new)/line length_4559.jpg,5.51E-06,0.003218,0.003218,0.886836,0.413742
23,4.64E-06,0.904382,0.499893,,,,,,,,,,,,,,,,,,,
23,14,0.13,0.175,0.281,0.489,0.65,6,0.02,0.19,0.35,2,0.69,0.41,0.56,4032,0,C:\Users\glady\Desktop\datalogging (new)/line length_4560.jpg,4.64E-06,0.00412,0.00412,0.904382,0.499893
23,5.44E-06,0.898638,0.383516,,,,,,,,,,,,,,,,,,,
23,13,0.693,0.692,0.669,0.927,0.491,7,0.82,0.35,0.61,3,0.17,0.4,0.87,6552,298,C:\Users\glady\Desktop\datalogging (new)/line length_4561.jpg,5.44E-06,0.00517,298.00517,0.898638,0.383516
23,9.72E-06,1.623293,0.912958,,,,,,,,,,,,,,,,,,,
23,10,0.864,0.862,0.589,0.166,0.203,4,0.76,0.23,0.55,3,0.51,0.05,0.4,2880,29,C:\Users\glady\Desktop\datalogging (new)/line length_4562.jpg,9.72E-06,0.019786,29.019786,1.623293,0.912958
23,5.40E-06,0.867916,0.400235,,,,,,,,,,,,,,,,,,,
23,13,0.665,0.166,0.752,0.925,0.439,7,0.97,0.96,0.05,3,0.05,0.42,0.19,6552,278,C:\Users\glady\Desktop\datalogging (new)/line length_4563.jpg,5.40E-06,0.00485,278.00485,0.867916,0.400235
23,4.02E-06,0.908788,0.421444,,,,,,,,,,,,,,,,,,,
23,9,0.998,0.871,0.771,0.671,0.871,6,0.99,0.48,0.83,2,0.82,0.36,0.8,2592,22,C:\Users\glady\Desktop\datalogging (new)/line length_4564.jpg,4.02E-06,0.010002,22.010002,0.908788,0.421444
23,3.41E-06,0.755332,0.240862,,,,,,,,,,,,,,,,,,,
23,12,0.177,0.617,0.09,0.107,0.078,4,0.55,0.95,0.01,2,0.65,0.43,0.69,2304,14,C:\Users\glady\Desktop\datalogging (new)/line length_4565.jpg,3.41E-06,0.015656,14.015656,0.755332,0.240862
23,3.50E-06,0.791779,0.292584,,,,,,,,,,,,,,,,,,,
23,9,0.803,0.167,0.011,0.502,0.084,7,0.72,0.56,0.64,2,0.28,0.52,0.17,3024,194,C:\Users\glady\Desktop\datalogging (new)/line length_4566.jpg,3.50E-06,0.013154,194.013154,0.791779,0.292584
23,9.09E-06,1.434381,1.118707,,,,,,,,,,,,,,,,,,,
23,10,0.342,0.39,0.634,0.306,0.924,7,0.83,0.87,0.44,3,0.33,0.11,0.97,5040,204,C:\Users\glady\Desktop\datalogging (new)/line length_4567.jpg,9.09E-06,0.005687,204.005687,1.434381,1.118707
23,6.79E-06,1.06287,0.595037,,,,,,,,,,,,,,,,,,,
23,11,0.214,0.332,0.178,0.747,0.292,7,0.67,0.03,0.65,3,0.35,0.72,0.49,5544,80,C:\Users\glady\Desktop\datalogging (new)/line length_4568.jpg,6.79E-06,0.005488,80.005488,1.06287,0.595037
23,8.34E-06,1.208984,0.717067,,,,,,,,,,,,,,,,,,,
23,12,0.337,0.561,0.9,0.25,0.379,6,0.12,0.66,0.26,3,0.8,0.76,0.07,5184,0,C:\Users\glady\Desktop\datalogging (new)/line length_4569.jpg,8.34E-06,0.00505,0.00505,1.208984,0.717067
23,3.95E-06,0.864073,0.377974,,,,,,,,,,,,,,,,,,,
23,14,0.837,0.898,0.11,0.168,0.804,5,0.57,0.42,0.94,2,0.35,0.88,0.98,3360,14,C:\Users\glady\Desktop\datalogging (new)/line length_4570.jpg,3.95E-06,0.009595,14.009595,0.864073,0.377974
23,6.66E-06,1.093071,0.559777,,,,,,,,,,,,,,,,,,,
23,13,0.04,0.914,0.425,0.259,0.36,6,0.34,0.1,0.76,3,0.21,0.59,0.44,5616,1,C:\Users\glady\Desktop\datalogging (new)/line length_4571.jpg,6.66E-06,0.00549,1.00549,1.093071,0.559777
23,3.31E-06,0.738398,0.310643,,,,,,,,,,,,,,,,,,,
23,10,0.527,0.409,0.219,0.745,0.334,7,0.67,0.81,0.45,2,0.6,0.69,0.77,3360,0,C:\Users\glady\Desktop\datalogging (new)/line length_4572.jpg,3.31E-06,0.005321,0.005321,0.738398,0.310643
23,0.000019,2.479247,3.91596,,,,,,,,,,,,,,,,,,,
23,8,0.21,0.015,0.398,0.332,0.618,5,0.98,0.22,0.89,3,0.34,0.71,0.15,2880,199,C:\Users\glady\Desktop\datalogging (new)/line length_4573.jpg,0.000019,0.011466,199.011466,2.479247,3.91596
23,0.000025,3.006328,5.247597,,,,,,,,,,,,,,,,,,,
23,9,0.685,0.515,0.357,0.256,0.734,4,0.48,0.42,0.94,3,0.66,0.64,0.88,2592,56,C:\Users\glady\Desktop\datalogging (new)/line length_4574.jpg,0.000025,0.015895,56.015895,3.006328,5.247597
23,2.14E-06,0.527978,0.128649,,,,,,,,,,,,,,,,,,,
23,14,0.304,0.731,0.582,0.241,0.261,6,0.71,0.55,0.19,2,0.19,0.82,0.1,4032,0,C:\Users\glady\Desktop\datalogging (new)/line length_4575.jpg,2.14E-06,0.007272,0.007272,0.527978,0.128649
23,2.58E-06,0.59974,0.177302,,,,,,,,,,,,,,,,,,,
23,13,0.066,0.506,0.18,0.413,0.158,6,0.75,0.76,0.09,2,0.33,0.04,0.74,3744,0,C:\Users\glady\Desktop\datalogging (new)/line length_4576.jpg,2.58E-06,0.006651,0.006651,0.59974,0.177302
23,5.64E-06,0.970499,0.387565,,,,,,,,,,,,,,,,,,,
23,14,0.348,0.751,0.732,0.114,0.211,5,0.63,0.58,0.61,3,0.13,0.89,0.34,5040,0,C:\Users\glady\Desktop\datalogging (new)/line length_4577.jpg,5.64E-06,0.008273,0.008273,0.970499,0.387565
23,0.000013,1.681957,1.663018,,,,,,,,,,,,,,,,,,,
23,11,0.319,0.529,0.634,0.758,0.919,5,0.78,0.87,0.15,3,0.46,0.72,0.7,3960,18,C:\Users\glady\Desktop\datalogging (new)/line length_4578.jpg,0.000013,0.009684,18.009684,1.681957,1.663018
23,5.52E-06,0.945791,0.534678,,,,,,,,,,,,,,,,,,,
23,13,0.395,0.539,0.52,0.745,0.618,4,0.28,0.84,0.44,2,0.09,0.88,0.22,2496,4,C:\Users\glady\Desktop\datalogging (new)/line length_4579.jpg,5.52E-06,0.011009,4.011009,0.945791,0.534678
23,7.39E-06,1.320389,1.117782,,,,,,,,,,,,,,,,,,,
23,8,0.376,0.288,0.813,0.24,0.869,5,0.27,0.77,0.8,2,0.4,0.82,0.86,1920,55,C:\Users\glady\Desktop\datalogging (new)/line length_4580.jpg,7.39E-06,0.009307,55.009307,1.320389,1.117782
23,0.00001,1.594611,1.582246,,,,,,,,,,,,,,,,,,,
23,10,0.285,0.005,0.505,0.816,0.997,4,0.37,0.21,0.59,2,0.37,0.72,0.79,1920,49,C:\Users\glady\Desktop\datalogging (new)/line length_4581.jpg,0.00001,0.011981,49.011981,1.594611,1.582246
23,2.81E-06,0.666849,0.240173,,,,,,,,,,,,,,,,,,,
23,12,0.433,0.745,0.697,0.731,0.673,7,0.42,0.78,0.17,2,0.91,0.83,0.87,4032,0,C:\Users\glady\Desktop\datalogging (new)/line length_4582.jpg,2.81E-06,0.00405,0.00405,0.666849,0.240173
23,6.94E-06,1.172895,0.60927,,,,,,,,,,,,,,,,,,,
23,11,0.13,0.699,0.754,0.894,0.559,6,0.65,0.15,0.08,3,0.38,0.22,0.26,4752,300,C:\Users\glady\Desktop\datalogging (new)/line length_4583.jpg,6.94E-06,0.011046,300.011046,1.172895,0.60927
23,7.56E-06,1.264787,0.619534,,,,,,,,,,,,,,,,,,,
23,9,0.917,0.085,0.069,0.641,0.019,7,0.89,0.37,0.66,3,0.12,0.19,0.45,4536,516,C:\Users\glady\Desktop\datalogging (new)/line length_4584.jpg,7.56E-06,0.013678,516.013678,1.264787,0.619534
23,0.000024,2.714999,4.653314,,,,,,,,,,,,,,,,,,,
23,10,0.091,0.667,0.121,0.938,0.274,4,0.62,0.45,0.67,3,0.97,0.24,0.32,2880,6,C:\Users\glady\Desktop\datalogging (new)/line length_4585.jpg,0.000024,0.012622,6.012622,2.714999,4.653314
23,6.09E-06,1.026475,0.401101,,,,,,,,,,,,,,,,,,,
23,13,0.361,0.473,0.405,0.181,0.054,5,0.99,0.25,0.82,3,0.76,0.85,0.9,4680,12,C:\Users\glady\Desktop\datalogging (new)/line length_4586.jpg,6.09E-06,0.011258,12.011258,1.026475,0.401101
23,0.000022,2.835742,5.207834,,,,,,,,,,,,,,,,,,,
23,9,0.575,0.564,0.105,0.252,0.92,5,0.05,0.99,0.71,3,0.1,0.99,0.73,3240,110,C:\Users\glady\Desktop\datalogging (new)/line length_4587.jpg,0.000022,0.0112,110.0112,2.835742,5.207834
23,0.000021,2.588588,4.101848,,,,,,,,,,,,,,,,,,,
23,10,0.112,0.829,0.692,0.184,0.662,4,0.02,0.3,0.64,3,0.78,0.39,0.79,2880,6,C:\Users\glady\Desktop\datalogging (new)/line length_4588.jpg,0.000021,0.012477,6.012477,2.588588,4.101848
23,3.00E-06,0.75084,0.255882,,,,,,,,,,,,,,,,,,,
23,13,0.9,0.265,0.374,0.41,0.401,5,0.99,0.09,0.4,2,0.13,0.4,0.72,3120,20,C:\Users\glady\Desktop\datalogging (new)/line length_4589.jpg,3.00E-06,0.016754,20.016754,0.75084,0.255882
23,0.000015,1.931324,2.544915,,,,,,,,,,,,,,,,,,,
23,10,0.371,0.412,0.314,0.67,0.568,6,0.01,0.71,0.93,3,0.16,0.23,0.35,4320,0,C:\Users\glady\Desktop\datalogging (new)/line length_4590.jpg,0.000015,0.005927,0.005927,1.931324,2.544915
23,4.32E-06,1.031657,0.569121,,,,,,,,,,,,,,,,,,,
23,9,0.779,0.705,0.127,0.203,0.842,7,0.73,0.81,0.83,2,0.61,0.33,0.2,3024,50,C:\Users\glady\Desktop\datalogging (new)/line length_4591.jpg,4.32E-06,0.010258,50.010258,1.031657,0.569121
23,3.73E-06,0.839425,0.37992,,,,,,,,,,,,,,,,,,,
23,9,0.695,0.285,0.936,0.683,0.52,6,0.65,0.27,0.37,2,0.08,0.22,0.73,2592,20,C:\Users\glady\Desktop\datalogging (new)/line length_4592.jpg,3.73E-06,0.009041,20.009041,0.839425,0.37992
23,9.81E-06,1.36542,1.183065,,,,,,,,,,,,,,,,,,,
23,11,0.102,0.135,0.049,0.827,0.223,7,0.17,0.62,0.42,3,0.27,0.88,0.46,5544,0,C:\Users\glady\Desktop\datalogging (new)/line length_4593.jpg,9.81E-06,0.002343,0.002343,1.36542,1.183065
23,8.72E-06,1.250406,0.861668,,,,,,,,,,,,,,,,,,,
23,13,0.792,0.977,0.365,0.864,0.336,6,0.01,0.24,0.87,3,0.3,0.83,0.5,5616,0,C:\Users\glady\Desktop\datalogging (new)/line length_4594.jpg,8.72E-06,0.006141,0.006141,1.250406,0.861668
23,7.56E-06,1.419256,0.723539,,,,,,,,,,,,,,,,,,,
23,12,0.62,0.902,0.102,0.186,0.369,5,0.85,0.73,0.48,3,0.28,0.97,0.5,4320,24,C:\Users\glady\Desktop\datalogging (new)/line length_4595.jpg,7.56E-06,0.012272,24.012272,1.419256,0.723539
23,0.000015,2.028193,2.319812,,,,,,,,,,,,,,,,,,,
23,8,0.006,0.053,0.059,0.826,0.072,5,0.74,0.57,0.1,3,0.85,0.4,0.96,2880,34,C:\Users\glady\Desktop\datalogging (new)/line length_4596.jpg,0.000015,0.009862,34.009862,2.028193,2.319812
23,0.000014,1.667773,1.710328,,,,,,,,,,,,,,,,,,,
23,13,0.833,0.217,0.719,0.522,0.319,4,0.22,0.8,0.37,3,0.78,0.09,0.42,3744,24,C:\Users\glady\Desktop\datalogging (new)/line length_4597.jpg,0.000014,0.01199,24.01199,1.667773,1.710328
23,9.92E-06,1.346998,1.080255,,,,,,,,,,,,,,,,,,,
